spec,outcome,is_primary,exposure_term,extra_covars,n,beta,se,t_value,p_value,ci_lo,ci_hi,formula,fdr
covariate_method,IV,TRUE,ln_BPA_raw,log2(URXUCR),1327,-4.7709660522379945e-4,0.006789214853267011,-0.07027272159375214,0.9473496112102883,-0.013783957717627141,0.012829764507179542,IV ~ ln_BPA_raw + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status) + log2(URXUCR),0.9473496112102883
covariate_method,RA,TRUE,ln_BPA_raw,log2(URXUCR),1327,-0.0024222536726585253,0.0030281580845744,-0.7999099138838278,0.4685737575748487,-0.00835744351842435,0.003512936173107299,RA ~ ln_BPA_raw + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status) + log2(URXUCR),0.4685737575748487
covariate_method,IS,FALSE,ln_BPA_raw,log2(URXUCR),1327,-0.013816290529540377,0.005050423196436972,-2.735669862139008,0.052137457912697464,-0.02371511999455684,-0.003917461064523913,IS ~ ln_BPA_raw + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status) + log2(URXUCR),0.052137457912697464
covariate_method,L5,FALSE,ln_BPA_raw,log2(URXUCR),1327,0.3435144681404107,1.445408336030911,0.23765911651215524,0.8238224394689224,-2.489485870480175,3.1765148067609963,L5 ~ ln_BPA_raw + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status) + log2(URXUCR),0.8238224394689224
covariate_method,M10,FALSE,ln_BPA_raw,log2(URXUCR),1327,-0.6093284086499958,6.0814630231934785,-0.10019437861023567,0.9250109659169169,-12.528995934109213,11.310339116809223,M10 ~ ln_BPA_raw + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status) + log2(URXUCR),0.9250109659169169
ratio_method,IV,TRUE,ln_BPA_ratio,,1327,-1.7034182904794728e-4,0.006940939205268522,-0.024541610869988496,0.9813699247594774,-0.01377458267137425,0.013433899013278355,IV ~ ln_BPA_ratio + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.9813699247594774
ratio_method,RA,TRUE,ln_BPA_ratio,,1327,-0.0023641086157705697,0.0029668887938989674,-0.7968308824490021,0.46169271672346346,-0.008179210651812546,0.003450993420271406,RA ~ ln_BPA_ratio + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.46169271672346346
ratio_method,IS,FALSE,ln_BPA_ratio,,1327,-0.013716564044347072,0.004974833962739427,-2.7571903197335956,0.039967655887432924,-0.023467238611316346,-0.0039658894773777955,IS ~ ln_BPA_ratio + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.039967655887432924
ratio_method,L5,FALSE,ln_BPA_ratio,,1327,0.3066358332899449,1.4368490529990554,0.21340852238439448,0.8394372419611875,-2.5095883105882035,3.1228599771680936,L5 ~ ln_BPA_ratio + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.8394372419611875
ratio_method,M10,FALSE,ln_BPA_ratio,,1327,-0.48699761437211525,6.0338469171943165,-0.08071096616394846,0.938802864643556,-12.313337572072975,11.339342343328745,M10 ~ ln_BPA_ratio + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.938802864643556
sanchez_residual,IV,TRUE,ln_BPA_resid,,1327,-7.022292898360083e-4,0.00665649206342107,-0.10549539955060072,0.9200842828756832,-0.013748953734141305,0.012344495154469289,IV ~ ln_BPA_resid + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.9200842828756832
sanchez_residual,RA,TRUE,ln_BPA_resid,,1327,-0.0024449545344216047,0.0030594922542417483,-0.7991373506606743,0.4604705558193435,-0.00844155935273543,0.0035516502838922217,RA ~ ln_BPA_resid + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.4604705558193435
sanchez_residual,IS,FALSE,ln_BPA_resid,,1327,-0.01377917519971948,0.0050849057903550815,-2.709819172236281,0.04228530945474041,-0.02374559054881544,-0.00381275985062352,IS ~ ln_BPA_resid + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.04228530945474041
sanchez_residual,L5,FALSE,ln_BPA_resid,,1327,0.3673545233236979,1.4425320900886394,0.2546595156168242,0.8091283400428022,-2.460008373250035,3.194717419897431,L5 ~ ln_BPA_resid + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.8091283400428022
sanchez_residual,M10,FALSE,ln_BPA_resid,,1327,-0.6964994086199129,6.163804479287978,-0.11299829690580486,0.914428595208371,-12.777556188024349,11.384557370784524,M10 ~ ln_BPA_resid + age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.914428595208371
